title,text,created_at,author,keywords
 Nokia 10 PureView might come with seriously next-gen specs ,A new leak suggests that the Nokia 10 PureView could bring the Snapdragon 875 and a sapphire glass display.,2020-11-03T06:00:01.684Z, TechRadar - All the latest technology news ,
University apparel emblazoned with 'CUM' is a chaotic internet mystery,"Delighted and embarrassed students and other internet users shared on TikTok and elsewhere that a private Lutheran school, Concordia University of Michigan, appeared to have recently debuted a rather unfortunate and/or glorious new line of athletic wear. The new line prominently featured what people assumed was the university's acronym: CUM.

T-shirts, hats, sweatshirts, all celebrated school spirit, and then some. One of the best items was a sweatshirt with a sparkly heart and the word CUM in the middle. Posts cackling and face-palming at the apparel went viral over the weekend. One TikTok got over 760,000 views.   Read more...
More about Clothing, Universities, Branding, Culture, and Web Culture",2020-11-02T06:30:01.678Z,Mashable,
WhatsApp confirms it will soon roll out disappearing messages feature: How it works,WhatsApp confirms it will soon roll out disappearing messages feature: How it works,2020-11-03T09:30:00.483Z,Firstpost Tech Latest News,
Light up the dance floor with this expressive music controller &#8212; Future Blink,"Even the slightest touch can create sound with Erae Touch, an expressive music controller that lights up when used.  Read more...
More about Music, Mashable Video, Music Technology, Music Production, and Future Blink",2020-11-04T20:00:01.086Z,Mashable,
 The best O2 phone deals in November 2020 ,O2 phone deals comparison. See the cheapest options available on a range of flagship phones.,2020-11-02T12:30:01.730Z, TechRadar - All the latest technology news ,
" Cheaters have arrived on Among Us, and devs will fight back with individual accounts ",The developer of multiplayer game Among Us is introducing accounts to ensure players can report cheaters.,2020-11-04T14:30:01.707Z, TechRadar - All the latest technology news ,
 Best printer for students in 2020: top picks for printing out coursework ,"If you're a student at school, college or university, you'll want the best printer that can print out your work reliably.",2020-11-04T13:30:02.878Z, TechRadar - All the latest technology news ,
The craters on Earth,A two-volume atlas presents and explains the impact sites of meteorites and asteroids worldwide.,2020-11-03T16:30:02.215Z,Latest Science News -- ScienceDaily,
"NASA explains how astronauts vote from space, shows off ISS voting booth","NASA has detailed how its astronauts vote in the US presidential election from space, showing off a picture of the ‘voting booth’ built on the International Space Station. The tricky part, of course, is securely transmitting the votes from the ISS to NASA, but the space agency has a special system in place that makes this possible. Astronauts retain their … Continue reading",2020-11-03T23:30:01.856Z,SlashGear,
 Google Cloud CDN is about to become much better at optimizing performance and cost ,New Cloud CDN features improve performance and reduce serving costs for regularly accessed content.,2020-11-04T00:00:02.110Z, TechRadar - All the latest technology news ,
Virtual BlizzCon event will be much more accessible than in previous years,"The COVID-19 pandemic has been bad news for conventions of all kinds, and earlier this year, Blizzard announced that its yearly BlizzCon event would not only be delayed because of the pandemic, but also held entirely online. Typically, BlizzCon happens right around this time each year, at the beginning of November. Because of the pandemic, what would have been BlizzCon … Continue reading",2020-11-03T21:00:02.046Z,SlashGear,
Onfleet raises $14 million to power last-mile deliveries for ecommerce companies,"Onfleet, a platform that provides last-mile delivery management tools to ecommerce firms, has raised $14 million in a round of funding.",2020-11-02T06:30:02.201Z,VentureBeat,
What I learned from funding my second startup… with a credit card,"No matter what kind of startup you dream of creating, you’re going to need some funding to get it off the ground. And as an entrepreneur, there are more ways than ever to get the money you need — e.g. investors, traditional loans, crowdfunding, grants, or whatever you want. You can even our own credit cards… which is exactly what I did for my second startup. Long story short? It’s not a method I’d recommend! However, I did learn a thing or two in the process, hopefully these lessons can help you out in your own entrepreneurial journey. Correct estimation… 
This story continues at The Next Web",2020-11-04T08:00:00.202Z,The Next Web,
